symbol_a,symbol_b,Q_beta,Q_alpha,R,half_life_minutes,capital_inr,skipped,skip_reason,error,TOTAL_TRADES,TOTAL_NET_PNL,TOTAL_GROSS_PNL,TOTAL_WIN_RATE,IS_TRADES,IS_WIN_RATE,IS_NET_PNL,IS_GROSS_PNL,OOS_TRADES,OOS_WIN_RATE,OOS_NET_PNL,OOS_GROSS_PNL,Z_ENTRY,Z_STOP,Z_EXIT
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-11976.832464385028,-2794.5000000000255,32.18390804597701,139,30.215827338129497,-10921.098078069037,-3581.1000000000386,35,40.0,-1055.7343863159874,786.6000000000122,2.0,7.5,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-11886.9201583623,-1967.0000000002956,30.319148936170212,150,30.0,-9676.346865544336,-1756.4000000003325,38,31.57894736842105,-2210.573292817963,-210.59999999996285,2.0,7.5,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-12637.438582563782,-1872.3999999997852,26.470588235294116,162,25.308641975308642,-10179.106182673808,-1625.3999999998075,42,30.952380952380953,-2458.332399889978,-246.9999999999775,2.0,7.5,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-11583.136198747045,-2399.5000000000437,32.18390804597701,139,30.215827338129497,-10527.401812431053,-3186.1000000000568,35,40.0,-1055.7343863159874,786.6000000000122,2.0,8.0,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-11432.382809556293,-1511.2000000002963,30.319148936170212,150,30.0,-9221.809516738329,-1300.6000000003332,38,31.57894736842105,-2210.573292817963,-210.59999999996285,2.0,8.0,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-12170.09258466981,-1403.7999999998106,26.470588235294116,162,25.308641975308642,-9711.760184779832,-1156.799999999833,42,30.952380952380953,-2458.332399889978,-246.9999999999775,2.0,8.0,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-11093.052854931004,-1909.1000000000029,32.18390804597701,139,30.215827338129497,-10037.318468615013,-2695.700000000016,35,40.0,-1055.7343863159874,786.6000000000122,2.0,8.5,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-10942.299465740252,-1020.8000000002553,30.319148936170212,150,30.0,-8731.726172922288,-810.2000000002922,38,31.57894736842105,-2210.573292817963,-210.59999999996285,2.0,8.5,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-11680.00924085377,-913.39999999977,26.470588235294116,162,25.308641975308642,-9221.676840963793,-666.3999999997925,42,30.952380952380953,-2458.332399889978,-246.9999999999775,2.0,8.5,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-9677.773292320999,-494.1000000000024,32.18390804597701,139,30.215827338129497,-8622.038906005007,-1280.7000000000146,35,40.0,-1055.7343863159874,786.6000000000122,2.0,9.0,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-9527.019903130255,394.199999999749,30.319148936170212,150,30.0,-7316.446610312291,604.7999999997123,38,31.57894736842105,-2210.573292817963,-210.59999999996285,2.0,9.0,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-10234.609339372766,531.7000000002322,26.470588235294116,162,25.308641975308642,-7776.276939482789,778.7000000002097,42,30.952380952380953,-2458.332399889978,-246.9999999999775,2.0,9.0,1.0
