stage3_rank,symbol_a,symbol_b,Q_beta,Q_alpha,R,half_life_minutes,capital_inr,skipped,skip_reason,error,total_trades,win_rate_pct,total_gross_pnl,total_net_pnl,total_fees_paid,avg_fees_multiple,avg_gross_pnl_per_trade,avg_net_pnl_per_trade,avg_trade_duration_minutes,max_drawdown_pct,sharpe_ratio,calmar_ratio,n_exits_mean_reversion,n_exits_halflife_timeout,n_exits_session_end,n_exits_data_end,lagging_asset,leader_asset,total_bars,live_bars,data_start,data_end,runtime_s,pearson_rho,stage1_rank,Q_beta_s2,Q_alpha_s2,R_s2,SNR_beta_R,half_life_minutes_s2,half_life_hours,adf_pvalue,hurst_exponent,beta_mean,beta_std
31,JINDALSTEL,NATIONALUM,1e-12,1.6882415e-05,0.0054032845,5.4400216,10000.0,False,,,451,5.321507760532151,-1319.1999999999123,-24151.10333774991,22831.903337750005,-0.057762781774791674,-2.9250554323723112,-53.550118265520865,5.92239467849224,240.78960359965916,-17.526672606968013,-1.5478334879523055,16,432,3,0,JINDALSTEL,NATIONALUM,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.998,0.42432,213,1e-12,1.6882415e-05,0.0054032845,1.8507262e-10,5.4400216,0.090667027,0.0,0.1227971,1.359018,1.0168695e-06
32,PNB,SBIN,3.67531e-07,1e-12,0.022331233,10.119243,10000.0,False,,,316,3.481012658227848,-1102.649999999908,-17107.671451925416,16005.021451925486,-0.06898072236184204,-3.489398734176924,-54.13820079723231,10.734177215189874,170.5297688178542,-17.990174042186126,-1.5481594640210115,16,294,6,0,SBIN,PNB,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.775,0.488676,83,3.67531e-07,1e-12,0.022331233,1.645816e-05,10.119243,0.16865405,0.0,0.22631908,1.7192609,0.016713422
33,HEROMOTOCO,TVSMOTOR,1e-12,5.5440203e-06,0.0064363136,9.7560988,10000.0,False,,,322,4.658385093167702,253.79999999992788,-15802.809868468077,16056.609868468007,0.015822396849656202,0.7881987577637511,-49.077049280956736,9.891304347826088,157.51993536178082,-18.011512440149048,-1.5481883109045185,11,310,1,0,TVSMOTOR,HEROMOTOCO,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.732,0.480445,93,1e-12,5.5440203e-06,0.0064363136,1.5536844e-10,9.7560988,0.16260165,0.0,0.23991684,1.1508752,5.2453668e-07
34,JINDALSTEL,JSWSTEEL,1e-12,5.0778303e-05,0.033143109,6.8746346,10000.0,False,,,412,6.310679611650485,-385.5000000000184,-21245.990285113006,20860.490285112974,-0.018475758260647533,-0.9356796116505302,-51.56793758522577,6.91747572815534,211.77446257173008,-15.535699892062258,-1.5482047101794532,9,397,6,0,JINDALSTEL,JSWSTEEL,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.54,0.477244,100,1e-12,5.0778303e-05,0.033143109,3.0172185e-11,6.8746346,0.11457724,0.0,0.17649272,2.497052,1.6677468e-07
35,IOB,UCOBANK,2.5432335e-09,1e-12,0.0002443384,11.379397,10000.0,False,,,347,8.645533141210375,1527.980000000032,-16109.490933743156,17637.470933743192,0.08657426231552731,4.403400576368968,-46.4250459185682,11.452449567723344,160.55870197547156,-13.21728842808066,-1.54836363331049,22,313,12,0,IOB,UCOBANK,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.687,0.373591,490,2.5432335e-09,1e-12,0.0002443384,1.0408653e-05,11.379397,0.18965661,0.0,0.3083401,0.56081763,0.0071066376
36,NBCC,VOLTAS,1.5801981e-08,1.8952494e-06,0.0017496695,7.2515223,10000.0,False,,,413,6.5375302663438255,-1190.9399999999857,-22177.899251759594,20986.95925175957,-0.05679205495632531,-2.8836319612590438,-53.69951392677865,7.929782082324455,220.9143778689849,-15.83261611379837,-1.5492496910542048,10,399,4,0,NBCC,VOLTAS,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.719,0.376354,467,1.5801981e-08,1.8952494e-06,0.0017496695,9.0314092e-06,7.2515223,0.12085871,0.0,0.17825298,0.7368801,0.0086329857
37,BDL,HAL,1e-12,1.9454082e-07,0.0013362176,25.455336,10000.0,False,,,178,11.797752808988765,-257.1999999999816,-9206.125329611981,8948.925329611997,-0.028932786808970715,-1.4449438202246159,-51.71980522253922,24.49438202247191,91.57619962105984,-14.203818667761805,-1.5513838303118044,9,157,12,0,HAL,BDL,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.624,0.582577,25,1e-12,1.9454082e-07,0.0013362176,7.4838112e-10,25.455336,0.4242556,0.0,0.3864364,1.890011,1.2712835e-05
38,BDL,MAZDOCK,1e-12,9.5316504e-08,0.0017307612,42.978654,10000.0,False,,,145,16.551724137931036,-1607.3999999999996,-8913.05241583,7305.652415830002,-0.21954777201546047,-11.085517241379307,-61.46932700572413,40.172413793103445,88.59537362170002,-12.681311244072127,-1.5525314647905244,10,123,12,0,MAZDOCK,BDL,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.478,0.651684,3,1e-12,9.5316504e-08,0.0017307612,5.7778044e-10,42.978654,0.7163109,1.9075364999999998e-29,0.42703132,1.9231706,2.8499819e-05
39,AUBANK,IDFCFIRSTB,5.8003817e-09,1e-12,0.0005077491,25.762091,10000.0,False,,,187,14.973262032085561,-23.699999999877264,-9501.588070719876,9477.888070719991,-0.002490785433163159,-0.12673796791378217,-50.81063139422393,25.02673796791444,94.0428687820488,-13.156909514568701,-1.5591766545916945,12,171,4,0,AUBANK,IDFCFIRSTB,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.591,0.427725,200,5.8003817e-09,1e-12,0.0005077491,1.1423716e-05,25.762091,0.42936819,0.0,0.36196126,-0.26206809,0.016006771
40,CENTRALBK,UCOBANK,1e-12,1e-12,1.0445133e-05,113.75714,10000.0,False,,,109,15.596330275229358,-508.99999999997215,-6049.035627824575,5540.035627824599,-0.09204084641057572,-4.6697247706419445,-55.49573970481259,95.5229357798165,59.81584371723977,-15.044684067319988,-1.5606118620592457,7,77,25,0,CENTRALBK,UCOBANK,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.291,0.413723,255,1e-12,1e-12,1.0445133e-05,9.5738372e-08,113.75714,1.8959524,9.4488447e-05,0.36567086,0.96782887,0.0085255331
41,NBCC,TATAPOWER,1e-12,3.7784998e-07,0.012198319,70.253954,10000.0,False,,,77,27.272727272727273,143.16999999999288,-3769.668873767707,3912.8388737676996,0.036108944980921244,1.8593506493505598,-48.95673862035982,63.8051948051948,36.61598028269606,-8.1371527945144,-1.5887572017415088,9,62,6,0,NBCC,TATAPOWER,44250,40500,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,49.758,0.377974,452,1e-12,3.7784998e-07,0.012198319,8.1978511e-11,70.253954,1.1708992,7.666874800000001e-27,0.44442435,-2.4121954,7.1429084e-06
