Pair,Half_Life,1D_Pearson,1D_ADF,Net_PnL
CANFINHOME-UCOBANK,517.99,0.8170703760157108,0.01450057506211209,6929.09
AEGISLOG-CONCOR,611.83,0.8237778689756895,0.019171350554609348,6920.38
BIKAJI-PARADEEP,354.43,0.9431359604409151,7.716305209142214e-05,6919.6
GVT&D-POWERINDIA,460.0,0.9614811389064414,0.001104185065439275,6918.31
AFCONS-BRIGADE,488.42,0.9353035844530961,0.05033295783792896,6909.45
ABSLAMC-BHARATFORG,550.32,0.9164123471203216,0.08360620656338724,6905.66
HUDCO-USHAMART,594.83,0.7240617927802758,0.11486921862569477,6897.33
INDGN-KPIL,606.44,0.6651745860959445,0.15793328892825065,6885.87
CANFINHOME-ETERNAL,382.65,0.8346666772992016,0.0003058194810432808,6875.81
GMRAIRPORT-TATAINVEST,522.55,0.7705751083685105,0.0343631329185588,6849.45
JUBLPHARMA-NUVAMA,549.41,0.8715635391560939,0.013683833165286766,6823.71
CUB-KPITTECH,589.71,0.6889944051832354,0.16070999975156536,6799.17
NAVA-NETWEB,598.83,0.8831536099994272,0.00031117155156496157,6788.32
CANFINHOME-CYIENT,597.32,0.833621009983469,0.006457682343544709,6784.13
EIHOTEL-POONAWALLA,539.27,0.7357537520504703,0.11269102205021336,6783.9
EXIDEIND-USHAMART,592.79,0.6968327658392908,0.08339886361004384,6778.3
CANFINHOME-IRCON,392.95,0.8482110070763398,0.005987162033676277,6771.57
JUBLINGREA-SUMICHEM,341.19,0.9289566755861001,0.009131148068778482,6752.51
SUMICHEM-VIJAYA,417.07,0.7410574357161859,0.1018301888471943,6743.09
AEGISLOG-TATACONSUM,551.53,0.7065457467208549,0.0015157460049080018,6732.78
NLCINDIA-SAIL,539.77,0.9069787073060857,0.07260776489194135,6729.21
360ONE-HYUNDAI,507.29,0.7663288719443557,0.15373810915492525,6711.61
EIHOTEL-MSUMI,555.37,0.8137666555592326,0.016120840719740567,6681.26
ACC-UNOMINDA,516.63,0.8748458662091186,0.1400568170436408,6672.58
BEML-USHAMART,440.45,0.7600627633086867,0.14062083650548546,6672.38
CANFINHOME-PARADEEP,392.59,0.7450236668035031,0.05962822975485822,6664.26
CANHLIFE-SHRIRAMFIN,290.7,0.8188290136303692,0.007858113489250628,6663.67
KOTAKBANK-SAPPHIRE,312.94,0.9203333559541,0.020990502212703287,6651.09
ANANDRATHI-NATCOPHARM,488.44,0.8893214617924464,0.09999549170285471,6639.37
EIHOTEL-GRAVITA,450.06,0.860416341347178,0.019191352185698757,6634.69
IGIL-TECHNOE,546.13,0.8366195730985189,0.0007027317364203506,6616.98
BEML-GRASIM,527.85,0.7423768526198662,0.11651678906132634,6612.25
KPIL-LICHSGFIN,375.58,0.8505893935601584,0.003591624577516237,6599.95
ANURAS-HSCL,486.97,0.7043907466866165,0.0059087142019483,6592.23
ABFRL-ZEEL,367.96,0.8253237157863395,0.171885824992222,6573.02
NYKAA-WOCKPHARMA,525.45,0.6936160838622459,0.0967961717285129,6571.8
JSWENERGY-TARIL,541.87,0.7962321348672106,0.08257582991609669,6569.53
ATUL-EMCURE,560.13,0.6982050394109599,0.09621866595985307,6560.84
BEML-CONCOR,244.84,0.9215633257023024,0.08353289785036044,6547.8
SJVN-SOBHA,477.24,0.6940591690809342,0.05245348062954713,6542.85
LICHSGFIN-NAVA,569.76,0.7060975082735366,0.007591480388543206,6539.38
MMTC-NHPC,592.14,0.6589233197099572,0.01858658502932993,6535.91
