symbol_a,symbol_b,pearson_rho,t_stat,p_value,n_obs,rank
LTM,TCS,0.385245,87.698,0.0,44132,273
JINDALSTEL,NATIONALUM,0.385228,87.6933,0.0,44132,274
LTM,WIPRO,0.384845,87.5912,0.0,44132,275
BANKINDIA,IREDA,0.38477,87.5711,0.0,44132,276
HDFCBANK,ICICIBANK,0.384669,87.544,0.0,44132,277
IRFC,RITES,0.383879,87.3331,0.0,44132,278
INFY,LTM,0.383805,87.3134,0.0,44132,279
BANKBARODA,RECLTD,0.38336,87.1947,0.0,44132,280
BEL,BHEL,0.382962,87.0887,0.0,44132,281
TATAELXSI,TATATECH,0.382889,87.0693,0.0,44132,282
NTPC,TATAPOWER,0.382174,86.8788,0.0,44132,283
BANKINDIA,RBLBANK,0.381874,86.799,0.0,44132,284
HCLTECH,LTM,0.381823,86.7854,0.0,44132,285
OFSS,TECHM,0.381607,86.7279,0.0,44132,286
RAILTEL,RITES,0.381538,86.7095,0.0,44132,287
JINDALSTEL,SAIL,0.381416,86.6771,0.0,44132,288
BEML,DATAPATTNS,0.381396,86.6716,0.0,44132,289
DLF,IRFC,0.381232,86.6282,0.0,44132,290
OFSS,WIPRO,0.380905,86.5413,0.0,44132,291
ADANIGREEN,IREDA,0.380793,86.5115,0.0,44132,292
IREDA,SJVN,0.38067,86.4789,0.0,44132,293
ETERNAL,SWIGGY,0.380637,86.4701,0.0,44132,294
DLF,RECLTD,0.380508,86.4357,0.0,44132,295
DLF,JIOFIN,0.380488,86.4305,0.0,44132,296
INOXWIND,JIOFIN,0.380145,86.3394,0.0,44132,297
ADANIENSOL,TATAPOWER,0.37992,86.2797,0.0,44132,298
INOXWIND,RECLTD,0.379746,86.2336,0.0,44132,299
CENTRALBK,UCOBANK,0.379701,86.2216,0.0,44132,300
GAIL,TATAPOWER,0.379404,86.1427,0.0,44132,301
MPHASIS,TATAELXSI,0.379384,86.1373,0.0,44132,302
MAZDOCK,ZENTEC,0.379303,86.1159,0.0,44132,303
IRCTC,IREDA,0.379088,86.0589,0.0,44132,304
JIOFIN,SUZLON,0.378991,86.0331,0.0,44132,305
BAJFINANCE,CHOLAFIN,0.378889,86.0062,0.0,44132,306
TATAELXSI,WIPRO,0.378835,85.9919,0.0,44132,307
BDL,INOXWIND,0.37871,85.9587,0.0,44132,308
GODREJPROP,IREDA,0.37837,85.8688,0.0,44132,309
AMBER,DIXON,0.378261,85.8397,0.0,44132,310
GRSE,RVNL,0.378209,85.826,0.0,44132,311
TATAELXSI,TCS,0.378039,85.781,0.0,44132,312
ADANIENT,ADANIPOWER,0.377959,85.7599,0.0,44132,313
COCHINSHIP,NBCC,0.377771,85.71,0.0,44132,314
IREDA,NHPC,0.377728,85.6987,0.0,44132,315
HAL,NBCC,0.377585,85.6609,0.0,44132,316
OFSS,TCS,0.377489,85.6356,0.0,44132,317
ADANIENT,JIOFIN,0.377363,85.6022,0.0,44132,318
JIOFIN,PFC,0.376946,85.4918,0.0,44132,319
IREDA,TITAGARH,0.376722,85.4328,0.0,44132,320
KPITTECH,MPHASIS,0.37657,85.3924,0.0,44132,321
ABCAPITAL,JIOFIN,0.376459,85.3631,0.0,44132,322
CANBK,JIOFIN,0.376397,85.3467,0.0,44132,323
KPITTECH,OFSS,0.376394,85.346,0.0,44132,324
BANKINDIA,PFC,0.375985,85.238,0.0,44132,325
HINDALCO,JINDALSTEL,0.375696,85.1618,0.0,44132,326
BAJFINANCE,SHRIRAMFIN,0.375688,85.1595,0.0,44132,327
KPITTECH,PERSISTENT,0.375522,85.1157,0.0,44132,328
BHEL,INOXWIND,0.37519,85.0281,0.0,44132,329
POWERGRID,TATAPOWER,0.374812,84.9285,0.0,44132,330
MAHABANK,PNB,0.374704,84.9001,0.0,44132,331
ADANIPORTS,AMBUJACEM,0.374671,84.8914,0.0,44132,332
TATAELXSI,TECHM,0.374637,84.8823,0.0,44132,333
PFC,PNB,0.374505,84.8476,0.0,44132,334
ADANIGREEN,NHPC,0.374404,84.8209,0.0,44132,335
NBCC,TATAPOWER,0.374002,84.7152,0.0,44132,336
CDSL,DLF,0.3739,84.6882,0.0,44132,337
IREDA,LICHSGFIN,0.373762,84.6519,0.0,44132,338
BANKBARODA,CENTRALBK,0.37358,84.604,0.0,44132,339
BHEL,IREDA,0.3733,84.5302,0.0,44132,340
PNB,YESBANK,0.373204,84.5051,0.0,44132,341
INFY,OFSS,0.373204,84.505,0.0,44132,342
MAZDOCK,TITAGARH,0.373051,84.4647,0.0,44132,343
PFC,RVNL,0.372992,84.4493,0.0,44132,344
HUDCO,PFC,0.372813,84.4023,0.0,44132,345
IREDA,PNB,0.372777,84.3927,0.0,44132,346
ADANIGREEN,JSWENERGY,0.372564,84.3367,0.0,44132,347
DIXON,KAYNES,0.372509,84.3223,0.0,44132,348
CANBK,MAHABANK,0.372421,84.2991,0.0,44132,349
ADANIENT,TATAPOWER,0.372296,84.2662,0.0,44132,350
GMRAIRPORT,IREDA,0.372216,84.2452,0.0,44132,351
ADANIENT,IREDA,0.372109,84.2171,0.0,44132,352
BEL,NBCC,0.37202,84.1939,0.0,44132,353
IRFC,TATAPOWER,0.371637,84.0931,0.0,44132,354
CDSL,INOXWIND,0.371488,84.0542,0.0,44132,355
BHEL,SUZLON,0.371319,84.0097,0.0,44132,356
RECLTD,SUZLON,0.371279,83.9993,0.0,44132,357
RAILTEL,TITAGARH,0.370959,83.9154,0.0,44132,358
IREDA,LTF,0.370736,83.8568,0.0,44132,359
MARUTI,TVSMOTOR,0.370618,83.8259,0.0,44132,360
HAL,SOLARINDS,0.37055,83.8081,0.0,44132,361
BANKINDIA,YESBANK,0.370543,83.8062,0.0,44132,362
BHEL,NBCC,0.370276,83.7363,0.0,44132,363
CDSL,KFINTECH,0.370041,83.6747,0.0,44132,364
CANBK,YESBANK,0.369951,83.6511,0.0,44132,365
CENTRALBK,UNIONBANK,0.369848,83.624,0.0,44132,366
BAJAJ-AUTO,MARUTI,0.369765,83.6024,0.0,44132,367
MAHABANK,UNIONBANK,0.369691,83.5829,0.0,44132,368
IOC,PETRONET,0.369685,83.5814,0.0,44132,369
COCHINSHIP,IREDA,0.36933,83.4884,0.0,44132,370
CANBK,RBLBANK,0.36909,83.4256,0.0,44132,371
BDL,CDSL,0.368646,83.3096,0.0,44132,372
NBCC,RAILTEL,0.368497,83.2705,0.0,44132,373
LAURUSLABS,ZYDUSLIFE,0.367991,83.1381,0.0,44132,374
JIOFIN,TATAPOWER,0.367753,83.0761,0.0,44132,375
ABCAPITAL,BANKINDIA,0.367562,83.0261,0.0,44132,376
DLF,RVNL,0.367425,82.9903,0.0,44132,377
RECLTD,UNIONBANK,0.367274,82.9509,0.0,44132,378
CGPOWER,NBCC,0.367266,82.9489,0.0,44132,379
LTM,OFSS,0.367253,82.9456,0.0,44132,380
LUPIN,ZYDUSLIFE,0.367211,82.9344,0.0,44132,381
IREDA,JWL,0.367136,82.915,0.0,44132,382
ADANIGREEN,ATGL,0.367049,82.8922,0.0,44132,383
HCLTECH,OFSS,0.366976,82.8732,0.0,44132,384
BDL,BHEL,0.366688,82.798,0.0,44132,385
ABCAPITAL,CANBK,0.366683,82.7967,0.0,44132,386
IRFC,NHPC,0.366255,82.6852,0.0,44132,387
BSE,IREDA,0.366146,82.6567,0.0,44132,388
ABCAPITAL,RECLTD,0.366087,82.6413,0.0,44132,389
JINDALSTEL,VEDL,0.36594,82.561,0.0,44087,390
PHOENIXLTD,PRESTIGE,0.365798,82.566,0.0,44132,391
COCHINSHIP,IRCON,0.365584,82.5102,0.0,44132,392
CANBK,NBCC,0.365499,82.488,0.0,44132,393
BANKINDIA,NBCC,0.365461,82.4782,0.0,44132,394
CDSL,PFC,0.364754,82.2942,0.0,44132,395
IRFC,SJVN,0.364686,82.2765,0.0,44132,396
LICHSGFIN,RECLTD,0.364641,82.2646,0.0,44132,397
BANKINDIA,IRFC,0.364606,82.2556,0.0,44132,398
CDSL,HUDCO,0.364574,82.2472,0.0,44132,399
BEL,IRFC,0.364386,82.1984,0.0,44132,400
INOXWIND,IRCON,0.3642,82.1501,0.0,44132,401
MANAPPURAM,MUTHOOTFIN,0.363974,82.0913,0.0,44132,402
ADANIGREEN,AMBUJACEM,0.36378,82.0409,0.0,44132,403
BANDHANBNK,BANKINDIA,0.363671,82.0124,0.0,44132,404
BAJFINANCE,JIOFIN,0.363546,81.98,0.0,44132,405
MARUTI,TMPV,0.363522,81.9738,0.0,44132,406
COFORGE,TATATECH,0.363201,81.8905,0.0,44132,407
BANKINDIA,JIOFIN,0.362842,81.7971,0.0,44132,408
