pair,wc_adf_stat,wc_pval,dr_adf_stat,dr_pval,ols_adf_stat,ols_pval
GODREJPROP-PHOENIXLTD,-11.0123,0.0,-11.5256,0.0,-2.6273,0.087492
MOTHERSON-TMPV,-12.3689,0.0,-13.013,0.0,-2.2722,0.181102
ADANIENSOL-ADANIPORTS,-9.4568,0.0,-10.5376,0.0,-0.1549,0.943693
BDL-SOLARINDS,-8.5329,0.0,-9.9408,0.0,-1.5046,0.53123
IREDA-RAILTEL,-10.693,0.0,-12.0162,0.0,-1.9629,0.303081
OFSS-TATAELXSI,-11.6164,0.0,-12.9353,0.0,-1.0723,0.725998
BEL-RVNL,-11.7482,0.0,-12.139,0.0,-1.2055,0.671244
JIOFIN-RVNL,-8.3824,0.0,-8.5533,0.0,-1.612,0.476907
JSWSTEEL-NMDC,-10.5065,0.0,-11.6693,0.0,-1.6891,0.436741
NHPC-TATAPOWER,-11.5269,0.0,-12.8575,0.0,-2.0145,0.280259
HAL-RVNL,-10.3695,0.0,-11.481,0.0,-1.3975,0.583481
LTM-MPHASIS,-13.9242,0.0,-20.9874,0.0,-1.3848,0.589539
HINDALCO-JSWSTEEL,-9.1764,0.0,-11.2557,0.0,-1.8944,0.334693
LTM-TECHM,-10.7572,0.0,-13.6765,0.0,-1.7696,0.395634
GRSE-ZENTEC,-10.5174,0.0,-11.2947,0.0,-2.2525,0.187759
IREDA-TATAPOWER,-10.2837,0.0,-11.3947,0.0,-1.7241,0.418746
INFY-MPHASIS,-14.8219,0.0,-18.3153,0.0,-1.6183,0.473611
MPHASIS-WIPRO,-16.5548,0.0,-17.7656,0.0,-1.6524,0.45579
HDFCLIFE-SBILIFE,-9.6521,0.0,-10.1751,0.0,-1.2869,0.635166
CANBK-PFC,-9.3404,0.0,-11.7064,0.0,-1.1728,0.685167
HEROMOTOCO-M&M,-11.6157,0.0,-16.0815,0.0,-7.5773,0.0
CAMS-CDSL,-15.2546,0.0,-18.6496,0.0,-0.4957,0.892857
RITES-RVNL,-16.1497,0.0,-18.5311,0.0,-1.4152,0.574972
KAYNES-PGEL,-9.5073,0.0,-9.6374,0.0,-2.0534,0.263643
CDSL-RECLTD,-10.0238,0.0,-10.0947,0.0,-1.2351,0.658312
BANKINDIA-CENTRALBK,-9.8707,0.0,-10.237,0.0,-1.314,0.622733
BAJAJ-AUTO-M&M,-10.732,0.0,-13.0436,0.0,-1.063,0.729586
PERSISTENT-TATAELXSI,-10.3228,0.0,-15.1236,0.0,-1.432,0.566838
JSWENERGY-TATAPOWER,-10.3149,0.0,-11.7778,0.0,-1.9739,0.298134
INDIANB-SBIN,-9.3089,0.0,-10.1393,0.0,-2.2058,0.204139
CDSL-MAZDOCK,-9.2843,0.0,-10.4543,0.0,-1.5776,0.494816
GAIL-IOC,-11.7424,0.0,-13.3145,0.0,-1.7873,0.386798
BDL-IRFC,-11.1537,0.0,-13.1267,0.0,-1.2273,0.661735
BANKINDIA-RECLTD,-8.1849,0.0,-9.6734,0.0,-1.3321,0.614341
BHEL-MAZDOCK,-8.5757,0.0,-8.742,0.0,-0.2834,0.927829
HINDZINC-TATASTEEL,-10.2897,0.0,-11.3607,0.0,-2.5527,0.103182
CENTRALBK-MAHABANK,-15.2411,0.0,-18.9831,0.0,-1.0578,0.731621
GODREJPROP-NBCC,-9.4016,0.0,-9.9108,0.0,-1.769,0.395933
PFC-TATAPOWER,-9.0932,0.0,-11.0895,0.0,-1.6813,0.44079
M&M-TMPV,-11.0847,0.0,-11.9962,0.0,-2.2296,0.195696
HUDCO-RVNL,-9.2485,0.0,-9.5645,0.0,-2.0171,0.279115
CENTRALBK-IOB,-14.2267,0.0,-16.7189,0.0,-0.7226,0.840797
PNB-RECLTD,-8.4041,0.0,-8.7369,0.0,-0.7653,0.829108
BANKINDIA-MAHABANK,-11.0131,0.0,-16.8229,0.0,-0.7631,0.829711
ABB-SIEMENS,-12.0635,0.0,-13.9742,0.0,-0.9768,0.761637
IRCON-MAZDOCK,-9.588,0.0,-10.1935,0.0,-1.8455,0.358095
ABCAPITAL-IREDA,-10.8408,0.0,-10.9546,0.0,-1.2765,0.639835
CDSL-RVNL,-9.1712,0.0,-9.8207,0.0,-1.8898,0.336882
CANBK-IREDA,-8.561,0.0,-8.8495,0.0,-1.1579,0.691429
HEROMOTOCO-MARUTI,-11.7304,0.0,-12.9281,0.0,-5.7313,1e-06
NBCC-PFC,-9.7987,0.0,-9.8306,0.0,-1.941,0.313012
CANBK-CENTRALBK,-10.7366,0.0,-11.8644,0.0,-2.0913,0.248008
HCLTECH-MPHASIS,-17.425,0.0,-20.2885,0.0,-1.2657,0.644722
CENTRALBK-PNB,-9.8336,0.0,-13.2495,0.0,-1.7645,0.398199
BDL-SUZLON,-8.2129,0.0,-8.6138,0.0,-2.2143,0.201097
JIOFIN-MAZDOCK,-8.7487,0.0,-8.8505,0.0,-1.3878,0.588103
LTM-TCS,-14.0851,0.0,-14.5991,0.0,-2.2314,0.195034
JINDALSTEL-NATIONALUM,-13.7984,0.0,-14.4554,0.0,-1.113,0.709862
LTM-WIPRO,-12.4014,0.0,-19.552,0.0,-1.7141,0.423871
BANKINDIA-IREDA,-7.9906,0.0,-8.4882,0.0,-1.1965,0.675114
HDFCBANK-ICICIBANK,-13.4398,0.0,-15.5321,0.0,-0.9064,0.785867
IRFC-RITES,-20.1904,0.0,-21.9899,0.0,-1.802,0.379486
INFY-LTM,-14.766,0.0,-16.068,0.0,-2.7739,0.0621
BANKBARODA-RECLTD,-8.3919,0.0,-8.7663,0.0,-1.1308,0.702621
BEL-BHEL,-9.278,0.0,-10.8235,0.0,-1.5757,0.49577
TATAELXSI-TATATECH,-9.3114,0.0,-14.3622,0.0,-0.7002,0.846696
NTPC-TATAPOWER,-10.232,0.0,-12.9488,0.0,-1.873,0.344869
