symbol_a,symbol_b,pearson_rho,stage1_rank,n_obs,Q_beta,Q_alpha,R,log_likelihood_final,em_iterations,em_converged,beta_mean,alpha_mean,spread_mean,spread_std,ou_kappa,ou_mu,ou_sigma,half_life_minutes,half_life_hours,ar1_phi,ar1_c,hurst_exponent,adf_pvalue,tradeable,skipped
IRCON,IRFC,0.5192069147185588,44,27527,6.5643899068134e-08,2.1985050114548726e-06,4.8122529783165875e-05,107232.78942798007,15,False,0.8482171294929194,1.0206084089701206,1.0355576427241761e-07,0.0009534734164476539,0.8682519426017256,7.275356472518268e-08,0.001256465681695239,0.7983249406651748,0.013305415677752914,0.4196845410720601,4.2220018302137965e-08,-0.006516623097654498,0.18771102976148984,False,False
INDIANB,UNIONBANK,0.5182389585985556,45,27527,1e-12,6.712930046073099e-05,0.012184142356700532,34328.020066251345,15,False,0.7926073923401826,2.685266133945095,3.1057569542132167e-07,0.0013910209541789424,0.22789456177806713,1.2647785156475969e-07,0.0009391192192660126,3.0415257615272093,0.050692096025453486,0.7962082061873477,2.577514824795275e-08,0.05902788885595145,0.047343824154561724,False,False
BSE,CDSL,0.5170386436157088,46,27527,1e-12,0.00018191797659142047,0.12420691150954269,2874.600468788489,15,False,0.1123766855231446,7.127873031771182,5.090635171129179e-06,0.003305387311211711,0.07415873207850462,1.489365802525212e-05,0.0012765485571327318,9.346804632880966,0.15578007721468276,0.9285242955518033,1.064534699165434e-06,0.1845728550263375,0.5640630670550598,False,False
HCLTECH,INFY,0.5147451028025671,47,27527,1e-12,6.313007860411802e-05,0.045028432611909724,16852.35664571119,15,False,0.5062693242545777,3.6382360850913917,8.463996446525105e-06,0.0017230590933059785,0.0960823599821834,3.6672852050037782e-06,0.0007508091918726765,7.214094040659242,0.12023490067765404,0.9083891980695753,3.3596293853797806e-07,0.1809353698862913,0.4434046378839541,False,False
NBCC,RVNL,0.51143815131968,48,27527,1e-12,3.596781109221836e-05,0.00991599275938085,37352.089056923876,15,False,0.9414781269841912,-0.8212472553475643,-8.322940966462559e-06,0.001897578570820973,0.1780580600973169,-6.08584177215192e-06,0.0011300332450929107,3.892815524223439,0.06488025873705731,0.8368938319408403,-9.926383308700652e-07,0.09311690536218341,0.1153386626624962,False,False
COFORGE,PERSISTENT,0.5107200689117879,49,27527,1e-12,5.405727553514463e-05,0.07507893820518187,9961.59611461898,15,False,0.3289261559196921,4.419769091385975,3.893283538911458e-06,0.003238737490252876,0.06128558883400117,1.4480557612778182e-06,0.0011331114391179525,11.310117007073416,0.18850195011789025,0.9405545895275425,8.60802691161669e-08,0.25385662005930465,0.5578818380815678,False,False
CHENNPETRO,MRPL,0.5105018132920021,50,27527,1e-12,0.0001306025303651277,0.023243897280087182,25419.996763911946,15,False,0.0372844714942531,6.6107915240473,6.909051669694753e-07,0.002808410153938088,0.17261183951515816,-1.55473233179319e-06,0.0016489841577910951,4.015641004156471,0.06692735006927451,0.841464174603717,-2.4648077349112105e-07,0.07040429671890382,0.4756068504218533,False,False
TCS,WIPRO,0.5093176230410128,51,27527,1e-12,4.794200944903664e-05,0.01073542186523787,36173.13764397982,15,False,0.3498026721950601,6.057010694707713,5.831932367585803e-07,0.0012291832749683415,0.15871986457041928,8.639005839521454e-07,0.0006926423273552723,4.36711045864342,0.07278517431072368,0.8532353469435187,1.2679006947902826e-07,0.08741420825176252,0.7242068056767073,False,False
DLF,PRESTIGE,0.5057851997209861,52,27527,1e-12,4.472579098337109e-05,0.031661498732661164,21696.2483708955,15,False,0.7899599541224823,0.6848319602785274,-2.598062949820355e-06,0.0020186852340878586,0.12588751526247416,-3.0757196001145608e-06,0.0010130026928415485,5.506083578778568,0.09176805964630946,0.8817140205757198,-3.638145053340063e-07,0.16606027689914096,0.025302265093102863,True,False
NMDC,TATASTEEL,0.5052796974587704,53,27527,1e-12,2.1227715739537694e-05,0.0041866239106386986,49058.96148491342,15,False,1.0276246925388222,-1.013230611570389,2.797000358277488e-08,0.001568216215544226,0.18942427732706185,4.317217418986758e-07,0.0009652807249582963,3.659230962054301,0.060987182700905015,0.8274353701432015,7.449990259187731e-08,0.0746536269929031,0.5935818050906903,False,False
CANBK,INDIANB,0.5036951498492792,54,27527,1e-12,0.00013316703070200388,0.07032372682423214,10631.850016493427,15,False,0.9582554697654257,-1.509760851651269,5.240956761731571e-06,0.0018582853757946282,0.1388949739176883,2.9841370837753175e-06,0.0009771051454642843,4.990441057793186,0.08317401762988644,0.870319429898482,3.869845982850646e-07,0.13707697872260188,0.7724125980213878,False,False
INFY,WIPRO,0.5017377637905855,55,27527,1e-12,6.263289777701462e-05,0.014008847883923826,32506.46147348874,15,False,1.3326816404298074,0.06747636441336181,-7.727402227758584e-07,0.0018185840213777536,0.1741175814326982,-5.89283654850461e-07,0.0010732272868415808,3.9809143617577067,0.06634857269596178,0.8401981001538028,-9.41686475934144e-08,0.07898686572688204,0.4858498144291229,False,False
IREDA,NBCC,0.4994554830038932,56,27527,1e-12,8.780124781511701e-06,0.001066394474513178,67576.8341970953,15,False,0.43450718439888003,2.85260342436983,4.540867000317714e-06,0.0013779232930513693,0.2257308276858899,2.415782742582139e-06,0.0009224399492815412,3.070680188726712,0.0511780031454452,0.7979328541945281,4.88150323679688e-07,0.045507022832912754,0.18843880070277702,False,False
ADANIENSOL,ADANIENT,0.494596789181081,57,27527,1e-12,0.00011456118358493965,0.09922315011185995,6026.59139801389,15,False,0.7541303304198337,1.1202016818057228,-5.0935463616532584e-06,0.002416582917602539,0.09627516803812534,-2.9663013728550914e-06,0.001059939477595234,7.199646541104517,0.11999410901840862,0.9082140701978316,-2.722647295809531e-07,0.18432620670027278,0.7945586156937299,False,False
IREDA,RECLTD,0.4919581390053796,58,27527,1e-12,0.0002347194250487706,0.07110666805787119,10285.026971811058,15,False,1.1375689055252767,-1.8271618065640851,-8.111139465065815e-07,0.0018858400891931383,0.16049936039980475,-1.1397681250522702e-06,0.001068495947307294,4.318691232371967,0.07197818720619946,0.8517183683310116,-1.6900667730705428e-07,0.09722833827392716,0.14062380157082305,False,False
IRFC,NBCC,0.4918517329534817,59,27527,1e-12,1.0942211345040706e-05,0.0013042154093464186,64811.16915997387,15,False,0.6026795365434988,1.9392251412297903,3.4260215611905664e-06,0.001250884899966657,0.267843530030833,2.298898070675985e-06,0.000914205304596885,2.587880993355162,0.0431313498892527,0.7650274755638389,5.401778830881565e-07,0.04540632437469918,0.5356591913209268,False,False
BANKBARODA,INDIANB,0.490853095776424,60,27527,1e-12,6.977575771992646e-05,0.03687764910364263,19515.96188930606,15,False,0.8083839202872658,0.19590462002819484,-2.98300005962064e-06,0.0016481455396740114,0.14934681598868305,-2.416882970958367e-06,0.0009006831857343835,4.641191551164167,0.07735319251940279,0.8612703607639057,-3.352933026369139e-07,0.13305706785655055,0.8948204246425016,False,False
JINDALSTEL,TATASTEEL,0.4899341491815708,61,27527,1e-12,2.489819418947971e-05,0.004871851276631532,46970.1358496103,15,False,1.2181599460463306,0.6203228441330738,-3.9805098988324643e-08,0.0016425409018808457,0.20419776320757355,6.135978479903455e-08,0.0010496836671751164,3.39448958535035,0.05657482642250584,0.8153011186785434,1.1333083610507e-08,0.07116307241700798,0.043153950063783766,False,False
BEL,GRSE,0.4897875038779575,62,27527,1e-12,9.31933637617152e-06,0.008903352930773854,39218.54567232119,15,False,0.3244986826726228,3.529246425047016,-2.7853469595953587e-06,0.002276820457168651,0.08599769455779199,3.0729139984034435e-06,0.0009414456557681614,8.060067006728163,0.13433445011213604,0.91759634668306,2.532193397972093e-07,0.21695263480791435,0.24966835078133198,False,False
CANBK,SBIN,0.4889886701577006,63,27527,1e-12,0.0014928029105915534,0.8949520065512879,-24339.867398292165,15,False,2.787946609451715,-14.461229136387075,7.387667125393347e-06,0.004483685209981514,0.09655347546515951,2.8808243659527424e-06,0.0019683167105712515,7.178894153945412,0.1196482358990902,0.9079613426463672,2.6514720671392097e-07,0.1656020552854735,0.5807660029249564,False,False
HCLTECH,TECHM,0.4889432467740169,64,27527,1e-12,0.00016261313122947491,0.11988499995728856,3383.8901712659176,15,False,0.27466799999827013,5.311670442294252,9.660864588965175e-06,0.002029051655852394,0.08824213141896668,4.288659124395596e-06,0.0008475739306033728,7.8550593623916125,0.13091765603986022,0.9155391690850861,3.622237131572789e-07,0.1928538446419986,0.6409347792914903,False,False
BDL,COCHINSHIP,0.4888114438584767,65,27527,1e-12,1.3117953028973502e-05,0.009591920928273247,38125.8284951652,15,False,0.8586047220948133,0.9348902626633965,6.645711498628946e-07,0.0025570204727826808,0.1225304232796522,8.701624963577561e-07,0.0012658081985333503,5.656939411512272,0.09428232352520453,0.8846789896977546,1.0034801820710036e-07,0.16239439109431597,0.5317201478576293,False,False
INDIANB,PNB,0.4885112244404392,66,27527,1e-12,3.73307600599576e-05,0.005175908641343102,45955.80904370836,15,False,0.9638063405169213,2.1634856811775993,1.4873788561168176e-06,0.0014250785115223648,0.22814805753065256,1.0840466645360651e-06,0.0009626122631379084,3.0381463163096107,0.050635771938493515,0.7960063963689521,2.2113858560292963e-07,0.053035057675602,0.9226641242766002,False,False
GODREJPROP,PRESTIGE,0.4872327692702434,67,27527,1e-12,0.00015203244817043465,0.1079021642969122,4822.612157944155,15,False,1.0491935379927066,-0.1548042881748347,-4.079153578273746e-06,0.0026734276411806463,0.11003439274876642,-3.732171872435832e-06,0.0012541338050891717,6.299368436035796,0.10498947393392993,0.8958033256279943,-3.8887989729255536e-07,0.1750556819127318,0.658213714747657,False,False
HINDALCO,VEDL,0.486793396431593,68,27527,1e-12,8.467802010902403e-05,0.019868358998034363,27723.21580150233,15,False,0.47593775192099114,4.199098950953682,3.860149895974453e-06,0.001481398718338331,0.18288503353951163,2.846983427663032e-06,0.0008953662042419056,3.790070554954369,0.06316784258257283,0.8328639016480422,4.7583370217228235e-07,0.08443184233022145,0.1474466886695866,False,False
IRCON,JWL,0.4842259742459245,69,27527,1e-12,4.491459200280795e-06,0.0007962650150190938,71726.01988632636,15,False,0.39278071106022455,2.772473156697284,-4.0545712812189904e-07,0.001939380796434158,0.20352570543215406,-2.4576250041954644e-07,0.0012373373834361765,3.405698455082904,0.056761640918048396,0.8158492322960386,-4.5257353125104625e-08,0.0683221980865595,0.7158952922819612,False,False
