symbol_a,symbol_b,pearson_rho,stage1_rank,n_obs,Q_beta,Q_alpha,R,log_likelihood_final,em_iterations,em_converged,beta_mean,alpha_mean,ou_kappa,ou_mu,ou_sigma,half_life_minutes,half_life_hours,ar1_phi,ar1_c,hurst_exponent,spread_mean,spread_std,adf_pvalue,tradeable,skipped
IREDA,RECLTD,0.4919581390053796,58,27527,1e-07,2.157498708649607e-07,2.346287805834038e-07,142074.99025574914,50,False,1.0055944202633298,-1.0553290875786334,,,,,,,,,,,0.1973699659634492,False,False
IRFC,NBCC,0.4918517329534817,59,27527,1e-07,1.6050306698129735e-07,1.3613019032998349e-07,148213.68016189497,50,False,0.5474700365730633,2.190378960826225,,,,,,,,,,,0.6232193213153889,False,False
BANKBARODA,INDIANB,0.490853095776424,60,27527,1e-07,2.1424717135344934e-07,2.557009590312809e-07,140060.69208643568,50,False,0.7393663037833736,0.6648999821472229,,,,,,,,,,,0.8996625002229641,False,False
JINDALSTEL,TATASTEEL,0.4899341491815708,61,27527,1e-07,2.0896033337259484e-07,1.9334093458449917e-07,144362.45654253254,50,False,1.0837747102734296,1.3307285250260388,,,,,,,,,,,0.05489599132400359,False,False
BEL,GRSE,0.4897875038779575,62,27527,1e-07,2.8685980390972656e-07,4.595283342093419e-07,136079.66291745298,50,False,0.3329066188512648,3.4638100222446644,,,,,,,,,,,0.2538649770675998,False,False
CANBK,SBIN,0.4889886701577006,63,27527,1e-07,5.239139720506833e-07,1.473857523910781e-06,130821.78087593436,50,False,2.5454307237794964,-12.761319512946203,,,,,,,,,,,0.5828154361666488,False,False
HCLTECH,TECHM,0.4889432467740169,64,27527,1e-07,2.1755432310456621e-07,2.7965215103712356e-07,138578.2044810141,50,False,0.27018538426397654,5.344867362020603,,,,,,,,,,,0.6425573695833212,False,False
BDL,COCHINSHIP,0.4888114438584767,65,27527,1e-07,3.0143126278828067e-07,5.151328309106661e-07,136092.52069059145,50,False,0.7717209845352977,1.5673256000094344,,,,,,,,,,,0.5683291146271374,False,False
INDIANB,PNB,0.4885112244404392,66,27527,1e-07,1.6186434398790363e-07,1.3397552434440828e-07,146981.9860619256,50,False,0.863472905009197,2.6432649007967073,,,,,,,,,,,0.9008443420551305,False,False
GODREJPROP,PRESTIGE,0.4872327692702434,67,27527,1e-07,3.266313162421562e-07,5.629141448876702e-07,135960.57247847968,50,False,0.9163486804203893,0.8051475744662077,,,,,,,,,,,0.628163453842818,False,False
