pair,lagger_asset,ols_gross_pnl,ols_net_pnl,ols_trades,gross_win_rate,net_win_rate,mean_rev_exits,eod_exits,avg_price_captured,avg_fee_drag,spread_vol,mean_abs_dev,zero_crossings,half_life,kalman_q,adf_stat,adf_pval
AIAENG-SBFC,SBFC,626.79,-67.7,13,0.6154,0.6154,0,13,0.0885,53.4221,0.02899,0.024159,340,471.89,2.47e-06,,
UCOBANK-ZYDUSLIFE,UCOBANK,410.75,-67.71,9,0.7778,0.7778,0,9,0.0278,53.1622,0.035824,0.027299,424,1172.83,1.52e-06,,
CASTROLIND-WHIRLPOOL,WHIRLPOOL,479.05,-67.84,10,0.5,0.4,0,10,0.615,52.5898,0.013273,0.010219,536,477.23,5.1e-07,,
APOLLOHOSP-ASAHIINDIA,ASAHIINDIA,302.9,-67.85,7,0.5714,0.5714,0,7,0.7214,52.9649,0.031636,0.02563,203,1464.96,9.5e-07,,
GABRIEL-WIPRO,GABRIEL,615.35,-67.86,13,0.4615,0.4615,0,13,0.8769,52.5545,0.05019,0.042159,365,987.47,3.53e-06,,
BRIGADE-HDFCLIFE,BRIGADE,301.45,-67.96,7,0.2857,0.2857,0,7,0.45,52.7722,0.063475,0.050644,224,2167.71,2.58e-06,,
DATAPATTNS-LGEINDIA,LGEINDIA,619.5,-67.96,13,0.5385,0.4615,2,11,1.6,52.8815,0.058516,0.051375,308,972.28,4.88e-06,,
CRISIL-J&KBANK,CRISIL,340.4,-67.98,8,0.375,0.375,0,8,2.7625,51.0475,0.036778,0.030698,338,991.16,1.89e-06,,
FINCABLES-ICICIAMC,FINCABLES,357.65,-67.98,8,0.625,0.625,0,8,1.4437,53.2039,0.066102,0.059126,147,1792.29,3.38e-06,,
POLICYBZR-ZFCVINDIA,POLICYBZR,617.0,-68.0,13,0.3846,0.3846,2,11,1.3385,52.6923,0.042514,0.033639,281,1087.79,2.3e-06,,
FIRSTCRY-PTCIL,PTCIL,375.0,-68.05,10,0.6,0.6,0,10,34.0,44.3053,0.067287,0.052206,247,1616.02,3.88e-06,,
FEDERALBNK-KAYNES,FEDERALBNK,571.95,-68.08,12,0.4167,0.4167,0,12,0.2167,53.3354,0.032106,0.02477,250,985.65,1.45e-06,,
LATENTVIEW-TATAPOWER,TATAPOWER,570.9,-68.09,12,0.4167,0.4167,2,10,0.3167,53.2493,0.071189,0.061564,73,1513.32,4.64e-06,,
DATAPATTNS-ZENTEC,DATAPATTNS,448.4,-68.16,10,0.5,0.5,0,10,2.85,51.6564,0.066856,0.053906,421,1555.99,3.98e-06,,
JAINREC-TCS,TCS,449.7,-68.17,10,0.4,0.4,1,9,2.08,51.7869,0.076509,0.049506,293,2712.77,2.99e-06,,
EIDPARRY-SOLARINDS,EIDPARRY,563.6,-68.19,12,0.4167,0.4167,1,11,0.6958,52.6494,0.033523,0.030986,274,854.75,1.82e-06,,
GILLETTE-MSUMI,MSUMI,358.58,-68.28,8,0.375,0.375,0,8,0.0362,53.3576,0.029465,0.022512,368,889.25,1.35e-06,,
ABFRL-DABUR,ABFRL,304.39,-68.38,7,0.5714,0.4286,0,7,0.06,53.2526,0.051234,0.038239,263,1367.69,2.66e-06,,
BLUEJET-NETWEB,NETWEB,343.8,-68.39,8,0.625,0.625,0,8,2.675,51.5237,0.060601,0.05068,289,1210.85,4.2e-06,,
APARINDS-FACT,FACT,250.7,-68.41,6,0.3333,0.3333,0,6,0.55,53.1848,0.079693,0.065467,301,1856.8,4.74e-06,,
SIEMENS-VOLTAS,VOLTAS,194.3,-68.44,5,0.4,0.4,0,5,2.46,52.5487,0.036618,0.030533,349,1150.34,1.61e-06,,
PWL-USHAMART,USHAMART,515.8,-68.5,11,0.5455,0.5455,0,11,0.6091,53.1178,0.077203,0.057527,352,1873.55,4.41e-06,,
BHARTIARTL-MARUTI,BHARTIARTL,298.5,-68.55,7,0.4286,0.4286,0,7,1.0286,52.4355,0.019293,0.015088,378,886.73,5.8e-07,,
JSWENERGY-MMTC,MMTC,304.62,-68.56,7,0.5714,0.5714,1,6,0.0214,53.3115,0.034237,0.027359,449,854.23,1.9e-06,,
AXISBANK-BRITANNIA,BRITANNIA,434.5,-68.73,10,0.5,0.5,0,10,5.9,50.3234,0.036087,0.030091,153,1247.65,1.45e-06,,
SBILIFE-TBOTEK,SBILIFE,348.8,-68.85,8,0.625,0.625,0,8,1.3875,52.2057,0.02337,0.020338,398,966.75,7.8e-07,,
360ONE-UBL,UBL,827.4,-68.93,17,0.4118,0.4118,3,14,1.0176,52.7252,0.040891,0.031613,406,1129.9,2.05e-06,,
IGL-TEGA,IGL,355.86,-68.95,8,0.75,0.75,0,8,0.1512,53.1016,0.03777,0.031029,213,1193.97,1.66e-06,,
ADANIPORTS-POLICYBZR,POLICYBZR,403.2,-68.97,9,0.4444,0.4444,1,8,1.8,52.463,0.041879,0.033024,363,1377.37,1.76e-06,,
