symbol_a,symbol_b,best_z_entry,best_z_sl,best_hl_stop,gross_profit,trade_count,win_rate,lagger,exit_mr_count,exit_sl_count,exit_hl_count,exit_session_count,avg_points_profit,avg_points_loss
IRFC,JIOFIN,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
MAZDOCK,SOLARINDS,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
IRCON,NBCC,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
BDL,NBCC,2.5,0.0,False,0.8300000000000125,2,1.0,b,2,0,0,0,0.41500000000000625,0.0
MPHASIS,OFSS,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
M&M,TVSMOTOR,3.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
CDSL,JIOFIN,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
JIOFIN,RECLTD,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
KPITTECH,TATAELXSI,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
PERSISTENT,TCS,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
INFY,PERSISTENT,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
HINDALCO,NMDC,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
BDL,BEML,2.5,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
EICHERMOT,M&M,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
EICHERMOT,MARUTI,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
DLF,NBCC,2.0,2.5,False,16.700000000000045,3,1.0,a,2,1,0,0,5.5666666666666815,0.0
CANBK,RECLTD,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
COFORGE,TATAELXSI,2.0,0.0,False,53.29999999999927,30,0.5,b,30,0,0,0,11.9,-8.346666666666716
INOXWIND,RVNL,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
ADANIGREEN,TATAPOWER,2.5,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
RECLTD,RVNL,2.5,0.0,False,4.25,1,1.0,a,1,0,0,0,4.25,0.0
IDEA,INDUSTOWER,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
HCLTECH,PERSISTENT,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
GRSE,ZENTEC,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
HINDALCO,JSWSTEEL,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
IRFC,JWL,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
MPHASIS,TCS,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
BDL,IREDA,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
NMDC,SAIL,2.0,0.0,False,0.5100000000000193,3,0.3333333333333333,a,3,0,0,0,0.8400000000000034,-0.16499999999999204
INOXWIND,MAZDOCK,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
IREDA,RAILTEL,2.0,0.0,False,4.759999999999991,3,1.0,a,3,0,0,0,1.5866666666666636,0.0
COFORGE,KPITTECH,2.5,0.0,False,91.90000000000009,13,1.0,a,13,0,0,0,7.069230769230776,0.0
DLF,PHOENIXLTD,4.5,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
DATAPATTNS,HAL,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
MOTHERSON,TMPV,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
PERSISTENT,WIPRO,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
JSWSTEEL,NMDC,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
RECLTD,TATAPOWER,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
GODREJPROP,PHOENIXLTD,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
LTM,PERSISTENT,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
HEROMOTOCO,M&M,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
RVNL,SUZLON,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
COCHINSHIP,RVNL,2.0,0.0,False,10.799999999999955,1,1.0,a,1,0,0,0,10.799999999999955,0.0
IRCTC,IRFC,2.0,0.0,False,12.400000000000148,26,0.8076923076923077,a,26,0,0,0,1.5404761904761943,-3.9899999999999864
IRFC,TITAGARH,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
ETERNAL,SWIGGY,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
OFSS,TATAELXSI,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
DLF,IREDA,2.0,0.0,False,5.210000000000008,1,1.0,b,1,0,0,0,5.210000000000008,0.0
BAJAJ-AUTO,M&M,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
CDSL,MCX,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
NHPC,TATAPOWER,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
HUDCO,RECLTD,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
JIOFIN,RVNL,3.0,0.0,False,0.44999999999998863,2,0.5,a,2,0,0,0,2.5,-2.0500000000000114
BDL,SOLARINDS,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
INFY,MPHASIS,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
LTM,TECHM,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
HINDZINC,TATASTEEL,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
BEL,RVNL,2.5,3.0,False,12.400000000000034,5,0.6,b,4,1,0,0,6.149999999999996,-3.0249999999999773
ADANIENSOL,ADANIPORTS,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
HAL,RVNL,3.0,0.0,False,8.899999999999977,7,0.2857142857142857,b,7,0,0,0,5.799999999999983,-0.5399999999999977
RITES,RVNL,3.5,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
