pair,ols_net_pnl,ols_trades,ols_win_rate,adf_stat,adf_pval
BEML-MAZDOCK,-2104.2462000000314,29,0.4483,-3.1168,0.025334
BDL-RVNL,-6953.1101000000135,16,0.3125,-3.2925,0.015215
NMDC-VEDL,2971.115930000007,22,0.5455,-3.9017,0.002022
COCHINSHIP-HAL,1940.6218500000177,18,0.5556,-3.0095,0.034016
BEML-GRSE,2561.455000000009,19,0.4737,-4.0436,0.001199
IRFC-SUZLON,1690.6172400000123,21,0.5714,-3.6089,0.005594
NBCC-RECLTD,4791.520040000005,19,0.5263,-2.8172,0.055855
CDSL-NBCC,2866.7313499999873,25,0.6,-3.306,0.014611
BAJAJ-AUTO-EICHERMOT,-370.18475000000035,23,0.3913,-3.703,0.004071
EICHERMOT-TVSMOTOR,475.31400000000394,22,0.5909,-3.8098,0.002809
MAZDOCK-SUZLON,4563.29229999999,19,0.4737,-3.4712,0.008758
LODHA-OBEROIRLTY,-14390.43510000001,28,0.3214,-2.4577,0.12612
JIOFIN-NBCC,5731.377364999991,23,0.6522,-3.315,0.014221
M&M-MARUTI,3706.616549999999,15,0.6667,-4.2258,0.000596
JBMA-OLECTRA,5890.29684999999,15,0.6667,-4.1949,0.000672
ADANIENT-AMBUJACEM,-5297.968800000014,29,0.4483,-2.0834,0.251229
OFSS-PERSISTENT,-11893.9755,20,0.25,-2.2035,0.204989
PREMIERENE-WAAREEENER,-2085.2964749999946,17,0.4706,-3.2769,0.015944
NBCC-SUZLON,541.9936200000193,22,0.4545,-4.5924,0.000133
MPHASIS-TECHM,-5577.396150000008,22,0.4545,-3.415,0.01046
MAZDOCK-SOLARINDS,-3483.4884000000075,17,0.4706,-3.5086,0.00777
IRFC-JIOFIN,-8668.122544999993,24,0.2917,-3.0666,0.029126
HINDCOPPER-NATIONALUM,13207.103899999966,22,0.6818,-2.7047,0.073223
CDSL-JIOFIN,-8502.762950000026,22,0.2273,-2.7008,0.073903
IDEA-INDUSTOWER,1979.966570000015,24,0.5417,-2.4406,0.130596
CANBK-RECLTD,-2371.3708250000136,21,0.4286,-3.1302,0.024395
BDL-NBCC,-5925.13424999998,23,0.3913,-2.4326,0.132758
BEL-DATAPATTNS,5514.896550000003,17,0.5882,-3.0575,0.029867
HINDZINC-NMDC,182.86632499996267,15,0.4667,-3.4233,0.010191
MPHASIS-OFSS,-6113.660250000015,23,0.4348,-3.2541,0.017062
INFY-PERSISTENT,-563.4762999999857,12,0.5,-3.5392,0.007036
INOXWIND-RVNL,-1700.0400950000148,18,0.5,-2.8618,0.049968
JIOFIN-RECLTD,3393.629585000004,19,0.5263,-2.4465,0.129044
KPITTECH-TATAELXSI,-5109.066399999977,25,0.48,-2.8531,0.051078
JWL-RAILTEL,-1603.0570650000045,18,0.7222,-4.2121,0.000628
PERSISTENT-TCS,-9748.875749999988,17,0.2941,-2.5023,0.114923
RECLTD-RVNL,6223.372549999989,18,0.6111,-3.0862,0.027588
NMDC-SAIL,4135.760359999989,13,0.7692,-4.481,0.000213
HINDALCO-NMDC,-161.43097499998657,19,0.4737,-3.5974,0.005811
KEI-POLYCAB,8757.454049999997,24,0.7083,-5.3539,4e-06
ADANIGREEN-TATAPOWER,-15470.504499999992,19,0.3158,-2.1503,0.224761
HCLTECH-PERSISTENT,-881.2751500000086,18,0.4444,-3.4057,0.010767
