pair,ols_net_pnl,ols_trades,ols_win_rate,eod_exits,mean_exits
BANKINDIA-PFC,7388.260970000003,14,0.7143,14,0
HINDALCO-JINDALSTEL,-2098.953775000021,35,0.4857,35,0
BAJFINANCE-SHRIRAMFIN,-1528.6536750000068,23,0.4783,23,0
KPITTECH-PERSISTENT,2050.8979999999992,17,0.5882,17,0
BHEL-INOXWIND,-18427.27456499999,25,0.28,25,0
POWERGRID-TATAPOWER,-4524.595499999999,17,0.4118,17,0
MAHABANK-PNB,-5639.034115000025,22,0.5,22,0
ADANIPORTS-AMBUJACEM,-5306.594399999992,17,0.4118,17,0
TATAELXSI-TECHM,153.50579999998263,19,0.5263,19,0
PFC-PNB,-5484.320174999995,17,0.2353,17,0
ADANIGREEN-NHPC,-2140.042275000017,18,0.5,18,0
NBCC-TATAPOWER,-5054.39551999999,15,0.3333,15,0
CDSL-DLF,352.9124500000107,14,0.5,14,0
IREDA-LICHSGFIN,-2083.4713450000063,13,0.3846,13,0
BANKBARODA-CENTRALBK,-4301.199725000004,13,0.3846,13,0
BHEL-IREDA,-12645.638489999992,21,0.3333,21,0
PNB-YESBANK,-9049.234300000018,25,0.32,25,0
INFY-OFSS,-5594.988249999998,24,0.5,24,0
MAZDOCK-TITAGARH,-5894.899650000012,26,0.3846,26,0
PFC-RVNL,-9876.638175,20,0.3,20,0
HUDCO-PFC,-8604.639590000012,19,0.4211,19,0
IREDA-PNB,-11256.099824999998,15,0.2667,15,0
ADANIGREEN-JSWENERGY,-5407.8956500000095,23,0.4348,23,0
DIXON-KAYNES,-11534.429499999998,14,0.2143,14,0
CANBK-MAHABANK,-2861.2901000000256,22,0.5,22,0
ADANIENT-TATAPOWER,-4566.37900000001,29,0.3103,29,0
GMRAIRPORT-IREDA,1606.2571649999973,10,0.7,10,0
ADANIENT-IREDA,2721.8805500000017,14,0.4286,14,0
BEL-NBCC,-4759.885799999996,20,0.3,20,0
IRFC-TATAPOWER,-4305.921270000003,14,0.2857,14,0
CDSL-INOXWIND,-15007.776850000013,25,0.44,25,0
BHEL-SUZLON,-2269.785625000016,30,0.5333,30,0
RECLTD-SUZLON,-2992.3677999999954,12,0.3333,12,0
RAILTEL-TITAGARH,5045.255974999989,18,0.5,18,0
IREDA-LTF,1476.2788649999966,13,0.5385,13,0
MARUTI-TVSMOTOR,553.8255000000081,23,0.4783,23,0
HAL-SOLARINDS,5109.644200000017,21,0.7619,20,1
BANKINDIA-YESBANK,-8234.164135000015,17,0.4706,17,0
BHEL-NBCC,-23251.918419999995,29,0.2069,29,0
CDSL-KFINTECH,2019.3066499999968,13,0.5385,13,0
CANBK-YESBANK,-7871.148030000005,23,0.4783,23,0
CENTRALBK-UNIONBANK,3170.4783899999657,24,0.5833,24,0
BAJAJ-AUTO-MARUTI,-1404.735249999996,18,0.5,18,0
MAHABANK-UNIONBANK,-1721.2784000000047,21,0.5714,21,0
IOC-PETRONET,-6684.329259999984,14,0.1429,14,0
COCHINSHIP-IREDA,-6576.899499999994,16,0.375,16,0
CANBK-RBLBANK,-516.1880850000016,17,0.4118,17,0
BDL-CDSL,-4960.665950000006,16,0.5,16,0
NBCC-RAILTEL,593.5001299999894,9,0.4444,8,1
LAURUSLABS-ZYDUSLIFE,4854.083175000009,14,0.5714,14,0
JIOFIN-TATAPOWER,-1079.716690000012,13,0.3846,13,0
ABCAPITAL-BANKINDIA,-8879.456574999991,24,0.3333,24,0
DLF-RVNL,-10582.143100000007,18,0.3333,18,0
RECLTD-UNIONBANK,-6582.516575000005,19,0.4211,19,0
CGPOWER-NBCC,-5384.280100000014,22,0.3636,22,0
LTM-OFSS,-2644.0450999999957,13,0.4615,13,0
LUPIN-ZYDUSLIFE,4928.481600000001,15,0.6,14,1
IREDA-JWL,-12777.02124999998,21,0.4286,21,0
ADANIGREEN-ATGL,-10463.945400000015,23,0.3478,23,0
HCLTECH-OFSS,-4273.668100000015,14,0.5,14,0
BDL-BHEL,-8376.302150000001,12,0.25,12,0
