pair,ols_net_pnl,ols_trades,ols_win_rate,eod_exits,mean_exits
ABCAPITAL-CANBK,-9863.922274999979,19,0.2632,19,0
IRFC-NHPC,-3238.750269999997,11,0.3636,11,0
BSE-IREDA,-8732.198550000006,20,0.35,20,0
ABCAPITAL-RECLTD,-5692.0133249999835,21,0.381,21,0
JINDALSTEL-VEDL,-1552.2725499999779,12,0.4167,12,0
PHOENIXLTD-PRESTIGE,-951.6770999999935,12,0.4167,12,0
COCHINSHIP-IRCON,-7168.103899999999,18,0.5,18,0
CANBK-NBCC,-5867.905800000023,22,0.4545,22,0
BANKINDIA-NBCC,-1448.9679900000046,12,0.5833,12,0
CDSL-PFC,-4146.002499999995,13,0.3077,13,0
IRFC-SJVN,-1408.0887700000148,11,0.4545,11,0
LICHSGFIN-RECLTD,-3943.752275000008,23,0.3913,23,0
BANKINDIA-IRFC,-3894.6210750000064,8,0.375,8,0
CDSL-HUDCO,-408.9829999999729,24,0.5417,24,0
BEL-IRFC,-4531.964249999996,20,0.45,20,0
INOXWIND-IRCON,5594.953114999997,7,0.8571,7,0
MANAPPURAM-MUTHOOTFIN,-3041.3357249999717,11,0.4545,11,0
ADANIGREEN-AMBUJACEM,-8863.976074999993,17,0.3529,17,0
BANDHANBNK-BANKINDIA,-17288.883815000023,25,0.2,25,0
BAJFINANCE-JIOFIN,-3957.6744499999895,14,0.3571,14,0
MARUTI-TMPV,-1511.0144999999993,17,0.4706,17,0
COFORGE-TATATECH,19565.401599999997,18,0.7778,18,0
BANKINDIA-JIOFIN,-2298.5576800000035,14,0.5,14,0
JIOFIN-PNB,-10341.583390000013,8,0.125,8,0
CGPOWER-HAL,2655.5891749999773,20,0.65,20,0
ADANIPORTS-JIOFIN,149.24235000000226,20,0.5,20,0
LTF-SHRIRAMFIN,-2045.7507700000142,13,0.4615,13,0
ANGELONE-IREDA,7082.446419999997,22,0.6364,22,0
CONCOR-IREDA,2744.008149999996,31,0.6452,31,0
PNB-RBLBANK,3538.4172899999903,13,0.5385,13,0
MAZDOCK-RECLTD,-12641.600300000013,20,0.35,20,0
CGPOWER-RVNL,-3495.669125000006,23,0.3913,23,0
LTM-TATAELXSI,4809.726149999991,21,0.6667,21,0
COCHINSHIP-ZENTEC,-17454.007400000002,25,0.36,25,0
BHARATFORG-MOTHERSON,-10554.66915,23,0.3913,23,0
GLENMARK-LAURUSLABS,-5335.755949999984,30,0.4,30,0
NBCC-TITAGARH,2925.0418449999943,19,0.5263,19,0
HEROMOTOCO-MOTHERSON,-2235.424500000002,5,0.4,5,0
JIOFIN-LTF,-3933.822095000005,18,0.1111,18,0
INFY-TATAELXSI,4056.6855499999892,17,0.5882,17,0
AUROPHARMA-LUPIN,638.5065499999873,20,0.55,20,0
