symbol_a,symbol_b,best_z_entry,best_z_sl,best_hl_stop,gross_profit,trade_count,win_rate,lagger,ou_sigma,ou_mu,exit_mr_count,exit_sl_count,exit_hl_count,exit_session_count,avg_points_profit,avg_points_loss
HEROMOTOCO,TVSMOTOR,2.0,0.0,False,14452.0,854,0.9461358313817331,a,0.0008504012227329,1.471697384415569e-06,810,0,0,44,18.1875,-5.293478260869565
COFORGE,TECHM,10.0,11.5,False,-30.59999999999991,24,0.625,b,0.00117642409905,2.069207805983425e-06,11,12,0,1,2.9933333333333243,-8.388888888888864
PNB,SBIN,2.0,0.0,False,139.90999999999994,794,0.698992443324937,a,0.0009839834223135,1.0796589185596305e-07,745,0,0,49,0.3594594594594591,-0.24933054393305465
BAJAJFINSV,BAJFINANCE,2.0,10.0,False,2083.7000000000025,928,0.6810344827586207,a,0.0008303582732784,2.473891398874904e-07,877,3,0,48,4.390664556962025,-2.335135135135129
HUDCO,IREDA,2.0,0.0,False,302.17999999999955,549,0.8615664845173042,a,0.0009891041384006,-8.621071571209477e-07,536,0,0,13,0.695475687103593,-0.35236842105263344
BDL,DATAPATTNS,2.0,0.0,False,3973.3999999999996,654,0.6345565749235474,b,0.0012602925119032,-2.3482508499623762e-07,635,0,0,19,16.103855421686763,-11.337656903765708
HINDCOPPER,HINDZINC,2.0,7.0,False,497.3500000000016,695,0.6316546762589929,b,0.0016988805501206,4.940393627319923e-06,620,40,0,35,2.134624145785879,-1.717773437499997
ADANIGREEN,ADANIPORTS,2.0,14.0,False,1141.399999999996,769,0.6215864759427828,b,0.0011599091985866,-1.626125622876067e-06,715,6,0,48,4.301882845188278,-3.1439862542955352
INOXWIND,NBCC,2.0,0.0,False,295.1599999999999,719,0.9207232267037552,a,0.001106645072307,3.5025897542847306e-06,698,0,0,21,0.4598942598187308,-0.16298245614035048
COCHINSHIP,DATAPATTNS,2.0,0.0,True,331.39999999999964,19,0.8947368421052632,a,0.0020924981689785,-9.855099752574458e-08,18,0,1,0,19.97058823529409,-4.0499999999999545
ANGELONE,BSE,2.0,0.0,False,663.2600000000003,620,0.9145161290322581,a,0.0022227672994392,2.1107560490420445e-06,565,0,0,55,1.254197530864198,-0.9032075471698103
IRCON,RITES,2.0,0.0,False,235.34999999999957,335,0.8776119402985074,a,0.0014260675148775,1.6558555767829054e-08,331,0,0,4,0.8627551020408153,-0.4463414634146379
BANKINDIA,SBIN,2.0,0.0,False,367.3999999999992,864,0.8078703703703703,a,0.001037118688188,4.421935209792762e-07,816,0,0,48,0.6069054441260735,-0.33867469879518053
SAIL,TATASTEEL,2.0,10.0,False,334.65999999999957,942,0.7685774946921444,b,0.0014213595144318,5.972837249511417e-07,893,6,0,43,0.5485635359116016,-0.28669724770642174
JINDALSTEL,JSWSTEEL,2.0,0.0,False,1452.7000000000046,897,0.6978818283166109,b,0.0010141920669848,-5.413707305620785e-07,848,0,0,49,3.2806709265175757,-2.2177121771217636
HINDALCO,HINDZINC,2.0,0.0,False,2376.1000000000013,757,0.9498018494055482,a,0.0010423305972912,5.8037054682336565e-06,701,0,0,56,3.426495132127958,-2.3039473684210514
CDSL,IREDA,2.0,0.0,False,1709.199999999999,375,0.928,a,0.0009483444364821,1.0017922777901761e-07,364,0,0,11,4.999712643678158,-1.1370370370370304
LODHA,PRESTIGE,2.0,12.0,False,2020.3999999999992,779,0.79204107830552,a,0.0012413851869914,9.131604992959676e-07,741,2,0,36,3.7811183144246336,-1.9293209876543262
IRCON,IREDA,2.0,8.5,False,73.51000000000015,504,0.6369047619047619,b,0.0013307979151747,-9.650177589351364e-07,484,4,0,16,0.3936760124610594,-0.28885245901639295
IRCON,TITAGARH,2.0,13.0,False,402.3999999999984,600,0.5933333333333334,b,0.0013071844028935,-1.1907671712001906e-06,578,1,0,21,2.8195224719101097,-2.4645491803278716
JINDALSTEL,NMDC,2.0,0.0,False,71.70999999999985,592,0.6891891891891891,b,0.0009971775440915,2.810256273243516e-08,572,0,0,20,0.245220588235294,-0.15402173913043535
IREDA,JIOFIN,2.0,0.0,False,407.8999999999994,905,0.7624309392265194,b,0.0011204476366722,2.072807204887993e-06,853,0,0,52,0.6970289855072455,-0.3397674418604653
EICHERMOT,HEROMOTOCO,13.5,14.5,False,-2.0,13,0.7692307692307693,b,0.0009203812585738,-5.394419672749203e-06,2,10,0,1,9.8,-33.333333333333336
IREDA,PFC,2.0,0.0,False,801.7999999999997,905,0.7856353591160221,b,0.0012231163846251,5.943617926042726e-07,854,0,0,51,1.3427566807313638,-0.7881443298969089
IRFC,MAZDOCK,2.0,0.0,False,5578.0999999999985,768,0.8177083333333334,b,0.001245899427994,-1.203384432039682e-06,718,0,0,50,10.184554140127391,-5.841428571428566
IREDA,SUZLON,2.0,0.0,False,124.79999999999988,279,0.899641577060932,a,0.0010208067663692,2.6046452410141016e-07,278,0,0,1,0.5182071713147406,-0.18821428571428658
COFORGE,WIPRO,2.0,2.5,False,5.289999999999651,843,0.47686832740213525,b,0.0010988468611135,1.151404586297319e-06,379,459,0,5,0.27624378109452646,-0.23981859410430836
NATIONALUM,TATASTEEL,2.0,8.0,False,246.38999999999967,774,0.7299741602067183,b,0.0014062667399831,8.219907984804134e-07,715,19,0,40,0.5483893805309733,-0.3035885167464129
BAJAJ-AUTO,HEROMOTOCO,2.0,0.0,False,15201.5,764,0.8324607329842932,a,0.0007341050208882,-9.421102988633384e-06,707,0,0,57,27.071540880503143,-15.75
